Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Contractor-details_Details-entrepr_eng,Contractor-details_Details-entrepr_fra,Proj-desc_eng,Proj-desc_fra,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2022/2023,06,"Environnement et Changement climatique","Environment and Climate Change",124,"Parks Canada Agency","Agence Parcs Canada","BD Construction Ltd., Surrey, British Columbia","BD Construction Ltd., Surrey, Colombie-Britannique","Construction of a laundry and maintenance building, Waterton Lakes National Park, Alberta","Construction d'un bâtiment de blanchisserie et d'entretien, Parc national des Lacs-Waterton, Alberta",477004,157250,477004
2022/2023,08,"Pêches, Océans et Garde côtière canadienne","Fisheries, Oceans and the Canadian Coast Guard",086,"Department of Fisheries and Oceans","Ministère des Pêches et des Océans","JCL Investments, Corner Brook, Newfoundland and Labrador","JCL Investments, Corner Brook, Terre-Neuve-et-Labrador","Fishway replacement, Lomond, Newfoundland and Labrador","Remplacement de la passe migratoire, Lomond, Terre-Neuve-et-Labrador",6159000,157800,157800
2022/2023,08,"Pêches, Océans et Garde côtière canadienne","Fisheries, Oceans and the Canadian Coast Guard",086,"Department of Fisheries and Oceans","Ministère des Pêches et des Océans","AFN Engineering Inc., Paradise, Newfoundland and Labrador","AFN Engineering Inc., Paradise, Terre-Neuve-et-Labrador","Engineering services for wharf reconstruction, Grand Bank, Newfoundland and Labrador","Services d'ingénierie pour la reconstruction d'un quai, Grand Bank, Terre-Neuve-et-Labrador",251353,158969,249346
2022/2023,15,Justice,Justice,144,"Courts Administration Service","Service administratif des tribunaux judiciaires","Contracts under $250,000 and cost plus contracts under $25,000 (7 contractors)","Contrats inférieurs à 250 000 $ et contrats à prix coûtant majoré inférieurs à 25 000 $ (7 entrepreneurs)",Total,Total,177141,162349,162349
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Gen Mec ACL Inc, Bonnyville, Alberta","Gen Mec ACL Inc, Bonnyville, Alberta","Construction Works - Buildings, Cold Lake, Alberta","Travaux de construction - Bâtiments, Cold Lake, Alberta",9126521,162370,9126520
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Tom Jones Corporation, Thunder Bay, Ontario","Tom Jones Corporation, Thunder Bay, Ontario","Construction Works - Buildings, Winnipeg, Manitoba","Travaux de construction - Bâtiments, Winnipeg, Manitoba",381459,163259,381459
2022/2023,21,"Sécurité publique","Public Safety",053,"Correctional Service of Canada","Service correctionnel du Canada","CORCAN, Ottawa, Ontario","CORCAN, Ottawa, Ontario","Physically securing cell living unit windows at Donnacona Institution, Quebec, Quebec","Sécurisation physique des fenêtres des unités résidentielles des cellules à l'établissement Donnacona, Québec, Québec",163379,163379,163379
2022/2023,08,"Pêches, Océans et Garde côtière canadienne","Fisheries, Oceans and the Canadian Coast Guard",086,"Department of Fisheries and Oceans","Ministère des Pêches et des Océans","AFN Engineering Inc., Paradise, Newfoundland and Labrador","AFN Engineering Inc., Paradise, Terre-Neuve-et-Labrador","Engineering services for wharf reconstruction, Fortune, Newfoundland and Labrador","Services d'ingénierie pour la reconstruction du quai, Fortune, Terre-Neuve-et-Labrador",252303,165753,252303
2022/2023,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",054,"Statistics Canada","Statistique Canada","BGIS Global Integrated Solutions Canada LP. Ottawa, Ontario","BGIS Global Integrated Solutions Canada LP. Ottawa, Ontario","Create a new office configuration on ground floor, Ottawa, Ontario","Créer une nouvelle configuartaion de bureau au rez-de-chaussée, Ottawa, Ontario",332629,166147,323986
2022/2023,20,"Services publics et Approvisionnement","Public Services and Procurement",127,"Department of Public Works and Government Services","Ministère des Travaux publics et des Services gouvernementaux","Maxim 2000 Inc, Saint John, New Brunswick","Maxim 2000 Inc, Saint John, Nouveau-Brunswick","Wall cladding replacement Nicholas Denys Building, Bathurst, New Brunswick","Remplacement du revêtement mural à l'édifice Nicholas Denys, Bathurst, Nouveau-Brunswick",15350960,167118,15350960
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","EastPoint Engineering Limited, Halifax, Nova Scotia","EastPoint Engineering Limited, Halifax, Nouvelle-Écosse","Construction Works - Buildings, Cold Lake, Alberta","Travaux de construction - Bâtiments, Cold Lake, Alberta",941283,168409,756642
2022/2023,21,"Sécurité publique","Public Safety",085,"Canada Border Services Agency","Agence des services frontaliers du Canada","Public Works and Government Services, Winnipeg, Manitoba","Travaux publics et Services gouvernementaux, Winnipeg, Manitoba","Various building renovations, Various locations, Various provinces","Rénovation de divers bâtiments, Lieux variés, Plusieurs provinces",3690801,168925,3690801
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Ground Truth Archaeology Limited, Mallorytown, Ontario","Ground Truth Archaeology Limited, Mallorytown, Ontario","Construction Works - Buildings, Mallorytown, Ontario","Travaux de construction - Bâtiments, Mallorytown, Ontario",255292,169077,228130
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Wade General Contracting Ltd., Petawawa, Ontario","Wade General Contracting Ltd., Petawawa, Ontario","Construction Works - Buildings, Petawawa, Ontario","Travaux de construction - Bâtiments, Petawawa, Ontario",691600,172035,172035
2022/2023,22,Transports,Transport,034,"Department of Transport","Ministère des Transports","Lockes Electrical Ltd., Mount Pearl, Newfoundland and Labrador","Lockes Electrical Ltd., Mount Pearl, Terre-Neuve-et-Labrador","Construction of garage and electrical system upgrade at Wabush Airport, Wabush, Newfoundland and Labrador","Construction d'un garage et mise à niveau du système électrique à l'aéroport Wabush, Wabush, Terre-Neuve-et-Labrador",3449729,172486,172486
2022/2023,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",035,"National Research Council of Canada","Conseil national de recherches du Canada","1799541 Ontario Inc, Ottawa, Ontario","1799541 Ontario Inc, Ottawa, Ontario","Building U-89 air handling unit replacement, Ottawa, Ontario","Remplacement de l'unité de traitement d'air du bâtiment U-89, Ottawa, Ontario",289709,172744,289709
2022/2023,22,Transports,Transport,034,"Department of Transport","Ministère des Transports","Stantec Consulting Ltd., Laval, Quebec","Stantec Consulting Ltd., Laval, Québec","Recovering of maneuvering area and parking lot development at Blanc-Sablon port, Blanc-Sablon, Quebec","Recouvrement de l'aire de mouvement et aménagement du stationnement au port the Blanc-Sablon, Blanc-Sablon, Québec",593265,173405,173405
2022/2023,06,"Environnement et Changement climatique","Environment and Climate Change",124,"Parks Canada Agency","Agence Parcs Canada","Acadian Construction (1991) Ltd., Dieppe, New Brunswick","Acadian Construction (1991) Ltd., Dieppe, Nouveau-Brunswick","Rehabilitation of the South Kouchibouguac campground entrance, Kouchibouguac National Park, New Brunswick","Réfection de l'entrée du camping de South Kouchibouquac, Parc national Kouchibouguac, Nouveau-Brunswick",1994759,173497,1994759
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Black & McDonald Limited, Ottawa, Ontario","Black & McDonald Limited, Ottawa, Ontario","Construction Works - Buildings, Ottawa, Ontario","Travaux de construction - Bâtiments, Ottawa, Ontario",445100,174000,178100
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Philson Ltd., Hanwell, New Brunswick","Philson Ltd., Hanwell, Nouveau-Brunswick","Construction Works - Buildings, Hanwell, New Brunswick","Travaux de construction - Bâtiments, Hanwell, Nouveau-Brunswick",313831,174167,313831
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Roscoe Construction Limited, Waterville, Nova Scotia","Roscoe Construction Limited, Waterville, Nouvelle-Écosse","Construction Works - Buildings, Waterville, Nova Scotia","Travaux de construction - Bâtiments, Waterville, Nouvelle-Écosse",1152061,174763,1152061
2022/2023,21,"Sécurité publique","Public Safety",053,"Correctional Service of Canada","Service correctionnel du Canada","CORCAN, Ottawa, Ontario","CORCAN, Ottawa, Ontario","CCTV server upgrade at the Regional Reception Center (RRC), Sainte-Anne-des-Plaines, Quebec","Modernisation du système de télévision en circuit fermé au Centre régional de réception (CRR), Sainte-Anne-des-Plaines, Québec",178711,178711,178711
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Black & McDonald Limited, Saskatoon, Saskatchewan","Black & McDonald Limited, Saskatoon, Saskatchewan","Construction Works - Buildings, Moose Jaw, Saskatchewan","Travaux de construction - Bâtiments, Moose Jaw, Saskatchewan",1267611,179799,743729
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Construction Côté & Fils Inc, Saint-Raymond, Quebec","Construction Côté & Fils Inc, Saint-Raymond, Québec","Construction Works - Buildings, Saint-Raymond, Quebec","Travaux de construction - Bâtiments, Saint-Raymond, Québec",6496846,180033,6496846
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Brevity Construction Corp, Warman, Saskatchewan","Brevity Construction Corp, Warman, Saskatchewan","Construction Works - Buildings, Warman, Saskatchewan","Travaux de construction - Bâtiments, Warman, Saskatchewan",436946,180960,180960
2022/2023,06,"Environnement et Changement climatique","Environment and Climate Change",124,"Parks Canada Agency","Agence Parcs Canada","7305516 Canada Ltd., Carleton Place, Ontario","7305516 Canada Ltd., Carleton Place, Ontario","Reconstruction of the Tobey dock, Georgian Bay Islands National Park, Ontario","Reconstruction du quai Tobey, Parc national des Îles-de-la-Baie-Georgienne, Ontario",697831,181474,697831
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Copcan Civil Ltd., Nanaimo, British Columbia","Copcan Civil Ltd., Nanaimo, Colombie-Britannique","Construction Works - Buildings, Nanaimo, British Columbia","Travaux de construction - Bâtiments, Nanaimo, Colombie-Britannique",1926740,181729,1926740
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Select Mechanical Incorporated, Quispamsis, New Brunswick","Select Mechanical Incorporated, Quispamsis, Nouveau-Brunswick","Construction Works - Buildings, Quispamsis, New Brunswick","Travaux de construction - Bâtiments, Quispamsis, Nouveau-Brunswick",404937,181887,404937
2022/2023,15,Justice,Justice,144,"Courts Administration Service","Service administratif des tribunaux judiciaires","Cadillac Fairview, Calgary, Alberta","Cadillac Fairview, Calgary, Alberta","Leasehold improvement of 635 8 ave SW, Calgary, Alberta","Amélioration locative au 635 8 ave SW, Calgary, Alberta",374341,182317,182317
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","2325657 Ontario Ltd., Trenton, Ontario","2325657 Ontario Ltd., Trenton, Ontario","Construction Works - Buildings, Trenton, Ontario","Travaux de construction - Bâtiments, Trenton, Ontario",552865,184095,549039
2022/2023,21,"Sécurité publique","Public Safety",053,"Correctional Service of Canada","Service correctionnel du Canada","Stanley Construction Ltd., Edmonton, Alberta","Stanley Construction Ltd., Edmonton, Alberta","Structured Intervention Unit at Edmonton Institution for Women, Edmonton, Alberta","Unité d'intervention structurée à l'établissement d'Edmonton pour les femmes, Edmonton, Alberta",1556609,184477,1547702
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Stag Construction Solutions Ltd., Calgary, Alberta","Stag Construction Solutions Ltd., Calgary, Alberta","Construction Works - Buildings, Calgary, Alberta","Travaux de construction - Bâtiments, Calgary, Alberta",449446,185000,185000
2022/2023,32,"Femmes, Égalité des genres et Jeunesse","Women, Gender Equality and Youth",190,"Department for Women and Gender Equality","Ministère des Femmes et de l'Égalité des genres","Public Works and Government Services Canada, Gatineau, Quebec","Travaux publics et services gouvernementaux Canada, Gatineau, Québec","Universal washrooms, Gatineau, Québec","Toilettes universelles, Gatineau, Québec",380391,187205,311247
2022/2023,06,"Environnement et Changement climatique","Environment and Climate Change",124,"Parks Canada Agency","Agence Parcs Canada","970534 Alberta Ltd., Red Deer, Alberta","970534 Alberta Ltd., Red Deer, Alberta","Improvement work on site grading and on drainage of Whistlers campground, Jasper National Park, Alberta","Travaux d'amélioration du nivellement et du drainage du terrain de camping Whistlers, Parc national Jasper, Alberta",268241,189560,189560
2022/2023,08,"Pêches, Océans et Garde côtière canadienne","Fisheries, Oceans and the Canadian Coast Guard",086,"Department of Fisheries and Oceans","Ministère des Pêches et des Océans","Seagate Construction Inc, Dartmouth, Nova Scotia","Seagate Construction Inc, Dartmouth, Nouvelle-Écosse","Perimeter security upgrades at Bedford Institute of Oceanography, Dartmouth, Nova Scotia","Mises à niveau du périmètre de sécurité à l'Institut océanographique de Bedford, Dartmouth, Nouvelle-Écosse",1098518,189562,1098518
2022/2023,08,"Pêches, Océans et Garde côtière canadienne","Fisheries, Oceans and the Canadian Coast Guard",086,"Department of Fisheries and Oceans","Ministère des Pêches et des Océans","Greendale Resources Inc, Hammonds Plains, Nova Scotia","Greendale Resources Inc, Hamonds Plains, Nouvelle-Écosse","new CCG Stations (SAR), Clark's Harbour, Nova Scotia","nouvelles stations de la GCC (SAR), Clark's Harbour, Nouvelle-Écosse",190141,190141,190141
2022/2023,21,"Sécurité publique","Public Safety",053,"Correctional Service of Canada","Service correctionnel du Canada","CORCAN, Ottawa, Ontario","CORCAN, Ottawa, Ontario","Electrical Cleaning CCTV at Donnacona Institution, Quebec City, Quebec","Nettoyage électrique CCTV à l'établissement Donnacona, Québec, Québec",191533,191533,191533
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Constructions CR Les, La Baie, Quebec","Constructions CR Les, La Baie, Québec","Construction Works - Buildings, La Baie, Quebec","Travaux de construction - Bâtiments, La Baie, Québec",483887,192991,192991
